RUN,Nombre,"Apellido P",telefono,"email personal","email  institucional",DEDICACIÓN,CONTRATO,DIURNO,VESPERTINO,SEDE,CARRERA,"GRADO ACADÉMICO",JERARQUÍA,CARGO,ESTAMENTO
15059751,RUFUS,SCRIMGEOUR,456789022,rufus.scrimgeour.devia@coldmail.com,rufus.scrimgeour.devia@lamejor.com,,HONORARIO,diurno,,HOGWARTS,MAGIA,LICENCIATURA,"TITULAR REGULAR",,
21423313,SéPTIMA,VECTOR,789012355,septima.vector@yeeha.com,septima.vector@lamejor.com,,"FULL TIME",diurno,vespertino,HOGWARTS,MAGIA,DOCTOR,"ASISTENTE DOCENTE","Director (a) Formación Cont. y Postgra",
20082984,VERNON,DURSLEY,789012356,vernon.dursley.renard@yeeha.com,vernon.dursley.renard@lamejor.com,,HONORARIO,diurno,vespertino,HOGWARTS,MAGIA,MAGISTER,"ASISTENTE DOCENTE",,
17241044,VOLDEMORT,SEñOROSCURO,234567902,voldemort.senoroscuros.elinnombrable@gmall.com,voldemort.senoroscuros.elinnombrable@lamejor.com,-1.0,"FULL TIME",diurno,,HOGWARTS,MAGIA,MAGISTER,"ASOCIADO REGULAR","Profesor por Jornada",
19457329,FLEUR,DELACOUR,678901238,fleur.delacour.diaz@gmall.com,fleur.delacour.diaz@lamejor.com,,"FULL TIME",diurno,vespertino,BEAUXBATON,,LICENCIATURA,"INSTRUCTORA DOCENTE","Secretaria Estudios",
23677609,DAPHNE,GREENGRASS,345678904,daphne.greengrass@michea.com,daphne.greengrass@lamejor,,HONORARIO,diurno,,BEAUXBATON,,MAGISTER,"INSTRUCTOR DOCENTE",,
15089005,BELLATRIX,LESTRANGE,234567892,bellatrix.lestrange.beltran@gmall.com,bellatrix.lestrange.beltran@lamejor.com,,HONORARIO,diurno,,,,MAGISTER,"TITULAR REGULAR",,
19064170,GILDEROY,LOCKHART,901234571,gilderoy.lockhart@yeeha.com,gilderoy.lockhart@lamejor.com,,HONORARIO,diurno,,BEAUXBATON,HECHICERÍA,"DOCTOR ","ASISTENTE DOCENTE",,
16789372,ERNIE,MACMILLAN,345678905,ernie.macmillan@riquelme.com,ernie.macmillan@lamejor,,"FULL TIME",diurno,,BEAUXBATON,HECHICERÍA,MAGISTER,"ASOCIADO DOCENTE","Director(a) Carrera (i)",
17043066,MINERVA,MCGONAGALL,,minerva.mcgonagall@gmall.com,minerva.mcgonagall@lamejor.com,,HONORARIO,diurno,,,,MAGISTER,"ASISTENTE DOCENTE",,
