RUN,Nombre,"Apellido P",telefono,"email personal","email  institucional",DEDICACIÓN,CONTRATO,DIURNO,VESPERTINO,SEDE,CARRERA,"GRADO ACADÉMICO",JERARQUÍA,CARGO,ESTAMENTO
15059751,RUFUS,SCRIMGEOUR,456789022,rufus.scrimgeour.devia@coldmail.com,rufus.scrimgeour.devia@lamejor.com,null,HONORARIO,diurno,null,HOGWARTS,MAGIA,LICENCIATURA,"TITULAR REGULAR",null,null
21423313,SéPTIMA,VECTOR,789012355,septima.vector@yeeha.com,septima.vector@lamejor.com,null,"FULL TIME",diurno,vespertino,HOGWARTS,MAGIA,DOCTOR,"ASISTENTE DOCENTE","Director (a) Formación Cont. y Postgra",null
20082984,VERNON,DURSLEY,789012356,vernon.dursley.renard@yeeha.com,vernon.dursley.renard@lamejor.com,null,HONORARIO,diurno,vespertino,HOGWARTS,MAGIA,MAGISTER,"ASISTENTE DOCENTE",null,null
17241044,VOLDEMORT,SEñOROSCURO,234567902,voldemort.senoroscuros.elinnombrable@gmall.com,voldemort.senoroscuros.elinnombrable@lamejor.com,-1.0,"FULL TIME",diurno,null,HOGWARTS,MAGIA,MAGISTER,"ASOCIADO REGULAR","Profesor por Jornada",null
19457329,FLEUR,DELACOUR,678901238,fleur.delacour.diaz@gmall.com,fleur.delacour.diaz@lamejor.com,null,"FULL TIME",diurno,vespertino,BEAUXBATON,null,LICENCIATURA,"INSTRUCTORA DOCENTE","Secretaria Estudios",null
23677609,DAPHNE,GREENGRASS,345678904,daphne.greengrass@michea.com,daphne.greengrass@lamejor,null,HONORARIO,diurno,null,BEAUXBATON,null,MAGISTER,"INSTRUCTOR DOCENTE",null,null
15089005,BELLATRIX,LESTRANGE,234567892,bellatrix.lestrange.beltran@gmall.com,bellatrix.lestrange.beltran@lamejor.com,null,HONORARIO,diurno,null,null,null,MAGISTER,"TITULAR REGULAR",null,null
19064170,GILDEROY,LOCKHART,901234571,gilderoy.lockhart@yeeha.com,gilderoy.lockhart@lamejor.com,null,HONORARIO,diurno,null,BEAUXBATON,HECHICERÍA,"DOCTOR ","ASISTENTE DOCENTE",null,null
16789372,ERNIE,MACMILLAN,345678905,ernie.macmillan@riquelme.com,ernie.macmillan@lamejor,null,"FULL TIME",diurno,null,BEAUXBATON,HECHICERÍA,MAGISTER,"ASOCIADO DOCENTE","Director(a) Carrera (i)",null
17043066,MINERVA,MCGONAGALL,null,minerva.mcgonagall@gmall.com,minerva.mcgonagall@lamejor.com,null,HONORARIO,diurno,null,null,null,MAGISTER,"ASISTENTE DOCENTE",null,null
13689982,REMUS,LUPIN,789012354,remus.lupin@coldmail.com,remus.lupin@lamejor.com,null,"FULL TIME",diurno,vespertino,HOGWARTS,MAGIA,MAGISTER,"ASOCIADO DOCENTE","Profesor por Jornada",null
8270690,VINCENT,CRABBE,901234578,vincent.crabbe.piturra@gmall.com,vincent.crabbe.piturra@lamejor.com,null,HONORARIO,null,vespertino,HOGWARTS,MAGIA,MAGISTER,"ASISTENTE DOCENTE",null,null
7682646,DUDLEY,DURSLEY,234567894,dudley.dursley.plaza@coldmail.com,dudley.dursley.plaza@lamejor.com,null,HONORARIO,null,null,BEAUXBATON,HECHICERÍA,MAGISTER,"INSTRUCTOR DOCENTE",null,null
13827502,REMUS,LUPIN,678901243,remus.lupin.barrientos@yeeha.com,remus.lupin.barrientos@lamejor.com,null,"FULL TIME",diurno,null,HOGWARTS,MAGIA,MAGISTER,"TITULAR DOCENTE","Profesor 1/2 Jornada",null
