RUN,Nombre,"Apellido P",telefono,"email personal","email  institucional",DEDICACIÓN,CONTRATO,DIURNO,VESPERTINO,SEDE,CARRERA,"GRADO ACADÉMICO",JERARQUÍA,CARGO,ESTAMENTO
,,,,,,10.0,HONORARIO,,vespertino,,,0,,,Académico
,,,,,,40.0,"FULL TIME",diurno,,,,MAGISTER,,"Director (a) Centro de Sol. Colab.de C",Académico
19156759,,,,,,40.0,"FULL TIME",,,,,,,"Secretaria (o)",Administrativo
,,,,,,,HONORARIO,diurno,,,,MAGISTER,"ASISTENTE DOCENTE",,
,,,,,,40.0,"FULL TIME",,,,,"PROFESOR TITULARREGULAR",,"Académico Investigador",Académico
,,,,,,40.0,"FULL TIME",diurno,,,,MAGISTER,"ASISTENTE DOCENTE",,Académico
,,,,,,40.0,"FULL TIME",diurno,vespertino,,,MAGISTER,"PROFESOR ASOCIADO DOCENTE",,Académico
,,,,,,10.0,HONORARIO,diurno,,,,LICENCIATURA,"PROFESOR TITULAR DOCENTE",,Académico
,,,,,,20.0,"FULL TIME",diurno,,,,MAGISTER,,,Académico
,,,,,,,HONORARIO,,,,,,"ASISTENTE REGULAR",,
,,,,,,,HONORARIO,diurno,,,,DOCTORA,"ASOCIADA DOCENTE",,
,,,,,,10.0,HONORARIO,,vespertino,,,MAGISTER,"SIN JERARQUIZAR",,Académico
,,,,,,10.0,HONORARIO,diurno,vespertino,,,MAGISTER,"PROFESOR ASOCIADO DOCENTE",,Académico
,,,,,,,HONORARIO,diurno,,,,LICENCIATURA,"INSTRUCTOR DOCENTE",,
,,,,,,,HONORARIO,diurno,,,,MAGISTER,"PROFESOR ASISTENTE DOCENTE",,Académico
,,,,,,,HONORARIO,diurno,,,,MAGISTER,"INSTRUCTOR DOCENTE",,
22035082,JK,Rowling,456789021,hkrowling@editorial.edito,hkrowling@lamejor.com,,"FULL TIME",diurno,vespertino,HOGWARTS,MAGIA,,"ASOCIADO DOCENTE","Profesor por Jornada",
